planet_name,star_name,num_of_stars,num_of_planets,discovery_method,disc_year,disc_facility,orbital_period_days,orb_semiMajorAxis,Orbit_Eccentricity,pl_radius,pl_Mass,equilibrium_temp_K,star_spectral_type,star_temp_K,star_radius,star_mass,star_mettalicity,star_surface_gravity,right_ascension_degree,declination_degree,distance_parsec,visual_magnitude,is_controversial,insolation_flux
CoRoT-31 b,CoRoT-31,1,1,Transit,2020,CoRoT,4.62941,0.0586,0.02,16.36514,266.9772,,G2 IV,5700,2.15,1.25,0,3.85,94.820735,-4.4222978,2005.76,15.479,0,
CoRoT-32 b,CoRoT-32,1,1,Transit,2018,CoRoT,6.71837,0.071,,6.38913,47.6745,938,G0 VI,5970,0.79,1.08,0,4.67,100.1951714,9.2573953,576.683,13.626,0,132.26
CoRoT-35 b,CoRoT-35,1,1,Transit,2022,CoRoT,3.22748,0.0429,0,18.83108758,349.6112477,1747,F6 V,6390,1.65,1.01,-0.5,4.01,289.3143526,-2.7747085,1123.21,15.635,0,
CoRoT-36 b,CoRoT-36,1,1,Transit,2022,CoRoT,5.616531,0.066,0,15.80466279,216.1233168,1567,F3 V,6730,1.52,1.32,-0.1,4.16,277.7510149,7.1833465,925.958,13.126,0,
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,CoRoT,9.20205,0.09,0,13.34,228.83,1074,,6190,1.17,1.16,0.05,4.41,102.1946233,-0.6727861,726.412,13.652,0,203.9517
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,CoRoT,4.0378962,0.04947,0.09,15.558,148.42,1438,F9 V,6100,1.186,1,-0.25,4.19,101.2772396,0.8152163,882.472,14.043,0,786.2949
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,CoRoT,8.886593,0.0855,0.1,13.068,940.74,1017,F9 V,6090,1.025,1.05,-0.2,4.43,281.0725563,6.6632062,645.294,13.961,0,
CoRoT-7 b,CoRoT-7,1,3,Transit,2009,CoRoT,0.85359163,0.017016,0,1.68135,4.07660518,1756,G9 V,5275,0.83,0.82,0.05,4.5,100.9561682,-1.0630076,159.906,11.728,0,
CoRoT-7 c,CoRoT-7,1,3,Radial Velocity,2009,CoRoT,3.698,0.046,0,2.83,8.4,,G9 V,5256,0.864273,0.899,0.06,4.51853,100.9561682,-1.0630076,159.906,11.728,0,
CoRoT-7 d,CoRoT-7,1,3,Radial Velocity,2022,La Silla Observatory,8.966,,,4.31,17.142,,G9 V,5250,0.8389,0.915,0.12,4.573,100.9561682,-1.0630076,159.906,11.728,0,
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,CoRoT,6.21229,0.063,0,6.39,69.92,870,K1 V,5080,0.77,0.88,0.3,4.58,291.5885696,1.4262972,322.037,14.792,0,
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,CoRoT,95.272656,0.4021,0.133,11.948794,266.9772,420,G3 V,5625,0.96,0.96,-0.01,4.54,280.7866461,6.2040783,412.98,13.637,0,
DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,Multiple Facilities,4098.1,5.75,0,12.4,3823.273302,,,3579,0.424754,0.51,,4.80413,201.7207198,45.5455449,30.5225,12.956,0,
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,Paranal Observatory,246.36,0.36,0.345,11.9,9057.77,,L1.5,,,0.075,,,125.7620668,-49.2003008,20.77,,0,
DH Tau b,DH Tau,1,1,Imaging,2004,Subaru Telescope,,330,,30.2643,3496,2200,M0.5,4371,0.27,0.33,,4.00103,67.4231674,26.5493897,134.846,13.98,0,
DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,18.57,0.1462,0.083,5.29,24.27,877,F8 V,6196,1.26,1.21,,4.41,86.7761233,-10.6303217,62.5388,7.98,0,
DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,6.584,0.0733,0.057,3.06,9.6,1239,F8 V,6196,1.26,1.21,,4.41,86.7761233,-10.6303217,62.5388,7.98,0,
DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,2.882,0.0422,0.07,1.65,3.35,1632,F8 V,6196,1.26,1.21,,4.41,86.7761233,-10.6303217,62.5388,7.98,0,
DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,5.516,0.0651,0.07,1.86,4.13,1314,F8 V,6196,1.26,1.21,,4.41,86.7761233,-10.6303217,62.5388,7.98,0,
DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,Multiple Facilities,5.2072,0.0664,0.078,14.3,138.89171,1000,F5 V,6500,1.78,1.44,,4.1,27.407731,-34.4590985,137.94,8.57,0,
DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,La Silla Observatory,6.6732,0.0662,0.14,1.41,2.58,854,K0 V,5138,0.91,0.87,0.18,4.3,91.624382,-72.5126648,45.23,9.066,0,
DMPP-4 b,DMPP-4,1,1,Radial Velocity,2023,Multiple Observatories,3.4982,0.04853,0.063,3.53,12.2,,F5-F8 V,6400,1.38,1.25,-0.007,4.24,293.5826648,51.2358069,25.3284,5.72936,0,
DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,10220,8.19,0.39,12.7,1995.88832,,,13500,0.0115,0.69,,,169.3162193,17.9615717,305.684,18.6837,0,
DS Tuc A b,DS Tuc A,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.138268,,0,5.7,413.179,850,G6 V,5428,0.964,1.01,0,4.6,354.9154673,-69.196043,44.0622,8.17,0,115.8276
EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,K2,6.7987,0.0349,0,1.047,1.15,,,3648,0.282,0.287,-0.048,4.999,170.1408561,-4.8070039,134,17.6984,0,
EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,K2,28.1656,,,1.87,4.16,,,3587,0.374,0.41,,4.77613,179.7058532,-3.3894613,159.259,16.014,0,
EPIC 201427007 b,EPIC 201427007,1,1,Transit,2021,K2,0.72091,,,1.5,2.86,,,5633,0.94,0.93,-0.053,4.4,184.6021322,-0.5512886,706.391,14.321,0,
EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,K2,2.13174,,,0.692,0.26,,,4991,0.554,0.78,-0.0892,4.63444,168.9366786,0.4880606,253.026,13.948,0,
EPIC 201595106 b,EPIC 201595106,1,2,Transit,2021,K2,0.87724,0.0177,0,1.565,7.67,2038,,5679,0.98,0.958,0.01,4.435,183.7203635,1.9681688,232.1,11.746,0,2852
EPIC 201615463 c,K2-166,1,2,Transit,2019,K2,3.80464,,,1.22,1.98,,,5960,1.61,1.073,0.09,4.09,185.1880932,2.2823788,476.882,12.081,0,
EPIC 201754305 d,K2-16,1,3,Transit,2019,K2,2.71578,,,1.03,1.08,,K3 V,4761,0.544,0.67,-0.33,4.629,175.0972238,4.5574311,334.967,14.668,0,
EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,K2,2.0478,0.0296,0,0.90819,0.688,,,4520,0.655,0.727,-0.003,4.659,173.9385102,4.6164303,577.6,14.974,0,
EPIC 201833600 c,K2-50,1,2,Transit,2019,K2,3.96151,,,1,0.972,,,4326,0.634,0.611,-0.1132,4.742,169.483654,5.988289,257.443,14.705,0,
EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,K2,4.1698,0.035,,1.04,1.12,,,5053,0.628461,0.802,0,4.595,175.206752,6.1348146,436.488,14.983,0,
EPIC 205950854 c,K2-168,1,2,Transit,2019,K2,8.050722,,,1.31,2.27,960.6,,5502.7,0.83,0.877,-0.13,4.46,333.1100738,-16.3418863,243.935,12.365,0,
EPIC 206024342 b,EPIC 206024342,1,3,Transit,2019,K2,4.50756,,,1.7,3.53,,,5724,0.823,0.928,-0.22,4.5,331.2771441,-14.1218019,369.888,13.096,0,
EPIC 206024342 c,EPIC 206024342,1,3,Transit,2021,K2,0.911724,,,1.4,2.54,,,5724,1.1,0.928,-0.22,4.5,331.2771441,-14.1218019,369.888,13.096,0,
EPIC 206024342 d,EPIC 206024342,1,3,Transit,2021,K2,14.647531,,,2.6,7.27,,,5724,1.1,0.928,-0.22,4.5,331.2771441,-14.1218019,369.888,13.096,0,
EPIC 206032309 b,EPIC 206032309,1,1,Transit,2019,K2,2.87814,,,1.01,1.01,,,3489,0.37344,0.221,,4.8514,341.2404563,-13.9011223,161.365,17.89,0,
EPIC 206042996 b,EPIC 206042996,1,2,Transit,2019,K2,5.2986,,,1.7,3.53,,,4114,0.5,0.565,0.006,4.8,337.5136198,-13.6101475,451.769,16.59,0,
EPIC 206042996 c,EPIC 206042996,1,2,Transit,2021,K2,0.354884,,,1.2,1.87,,,4114,0.5,0.565,0.006,4.8,337.5136198,-13.6101475,451.769,16.59,0,
EPIC 206215704 b,EPIC 206215704,1,1,Transit,2019,K2,2.255436,,,1,0.972,,,3297,0.25,0.407,-0.33,4.9,335.0949721,-9.5097112,109.888,17.83,0,
EPIC 206317286 b,EPIC 206317286,1,2,Transit,2019,K2,1.58252,,,0.96,0.84,,,4752,0.669,0.711,0.019,4.596,337.6178427,-7.972456,314.35,14.005,0,
EPIC 206317286 c,EPIC 206317286,1,2,Transit,2022,K2,17.515472,,,2.094,5.03,,,4752,0.758,0.832,0.019,4.596,337.6178427,-7.972456,314.35,14.005,0,
EPIC 211822797 b,EPIC 211822797,1,1,Transit,2016,K2,21.1701963,0.1195,0.06,1.92,4.35,431,M0,4057,0.58,0.62,0.2,4.7,130.4102091,17.6399744,186.197,15.133,0,3.5
EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,K2,19.49221,0.1493,0,5.76,11,817,G0,6069,1.39,1.17,0.1,4.22,136.5741931,19.4020565,181.69,10.154,0,101
EPIC 212297394 b,EPIC 212297394,1,2,Transit,2019,K2,2.289363,,,1.48,2.79,1149,,5171,0.8,0.83,-0.03,4.55,207.2061241,-17.6098985,418.395,14.611,0,
EPIC 212297394 c,EPIC 212297394,1,2,Transit,2021,K2,5.213965,,,2.27,5.77,866,,5171,0.8,0.83,-0.03,4.55,207.2061241,-17.6098985,418.395,14.611,0,
EPIC 212424622 b,EPIC 212424622,1,1,Transit,2019,K2,18.0983,,,2.17,5.35,,,5782.33,1.2247,1.106,,4.29996,202.3313765,-14.3594358,611.804,13.441,0,
EPIC 212499991 b,EPIC 212499991,1,1,Transit,2019,K2,34.885,,,1.6,3.19,,,4982.79,0.757541,0.912,,4.61492,202.488752,-12.7347749,283.29,13.672,0,
EPIC 212587672 b,EPIC 212587672,1,2,Transit,2019,K2,15.28078,,,1.26,2.13,756,,6004,0.98,0.99,-0.18,4.45,205.4445125,-10.8625468,320.07,12.488,0,
EPIC 212587672 c,EPIC 212587672,1,2,Transit,2021,K2,23.228555,,,2.32,5.99,658,,6004,0.98,0.99,-0.18,4.45,205.4445125,-10.8625468,320.07,12.488,0,
EPIC 212624936 b,EPIC 212624936,1,2,Transit,2021,K2,0.578657,,,1.2,1.87,,,5765,0.93,1,-0.39,4.4,210.6376171,-10.0236852,561.929,13.976,0,
EPIC 212624936 c,EPIC 212624936,1,2,Transit,2021,K2,11.811437,,,2.3,5.9,,,5765,0.93,1,-0.39,4.4,210.6376171,-10.0236852,561.929,13.976,0,
EPIC 212737443 b,EPIC 212737443,1,2,Transit,2019,K2,13.603,0.098,0.2,2.586,7.2,536,K3,4684,0.673,0.69,-0.137,4.622,204.2215065,-7.3180577,336.25,14.81,0,
EPIC 212737443 c,EPIC 212737443,1,2,Transit,2019,K2,65.55,0.28,0.2,2.69,7.7,316,K3,4684,0.673,0.69,-0.137,4.622,204.2215065,-7.3180577,336.25,14.81,0,
EPIC 220492298 b,EPIC 220492298,1,1,Transit,2021,K2,0.762406,,,0.99,0.937,,,5620,0.89,0.95,0.28,4.5,16.7615005,6.588798,624.512,13.991,0,
EPIC 220554210 c,K2-282,1,2,Transit,2019,K2,0.70531,,,1.6,3.19,,,5499,1,0.94,-0.23,4.5,13.4321524,7.9952914,496.289,14.21,0,
EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016,K2,0.5713127,0.01314,0,1.676,7.8,2299,G5 V,5578,0.99,0.913,-0.005,4.408,13.0800239,10.7947051,244.59,12.101,0,4656
EPIC 220674823 c,EPIC 220674823,1,2,Transit,2016,K2,13.33989,0.1073,0.17,2.84,7.32,804,G5 V,5578,0.99,0.913,-0.005,4.408,13.0800239,10.7947051,244.59,12.101,0,70
EPIC 228836835 b,EPIC 228836835,1,1,Transit,2021,K2,0.728113,,,1.1,1.37,932,,3782,0.32,0.418179,-0.18,5,189.5748998,-5.2446247,150.124,16.77,0,
EPIC 229004835 b,EPIC 229004835,1,1,Transit,2023,K2,16.141132,0.1237,0.23,2.332,10.4,804,,5868,0.999,0.97,-0.12,4.47031,186.4860415,-1.4047214,121.971,10.23,0,69.7
EPIC 246851721 b,EPIC 246851721,2,1,Transit,2018,K2,6.180235,0.07229,,11.780659,953.49,1401,F5 V,6202,1.586,1.317,0.141,4.157,78.9198197,16.2786991,372.632,11.237,0,642
EPIC 248847494 b,EPIC 248847494,1,1,Transit,2018,K2,3650,4.5,0,12.44199,4131.79,183,,4898,2.7,0.9,-0.23,3.52,159.3890808,11.8427484,551.886,12.353,0,0.19
EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,K2,3.5951,0.047,0.06,1.95,8.75,1616,G8 IV/V,5430,1.71,1.05,0.2,3.99,228.2482353,-16.7246474,321.296,11.429,0,1037
EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,K2,15.624,0.13,0.07,3.67,14.67,990,G8 IV/V,5430,1.71,1.05,0.2,3.99,228.2482353,-16.7246474,321.296,11.429,0,160
EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,K2,35.747,0.22,0.15,3.94,10.18,752,G8 IV/V,5430,1.71,1.05,0.2,3.99,228.2482353,-16.7246474,321.296,11.429,0,53
FU Tau b,FU Tau,1,1,Imaging,2008,Spitzer Space Telescope,,800,,12.2,5085.28,2375,M7.25,2838,,0.05,,,65.8974962,25.0506711,133.4950466,,0,
G 192-15 b,G 192-15,1,2,Radial Velocity,2025,Calar Alto Observatory,2.27476,0.01723,0,1.02,1.03,453.6,M5.0 V,2999,0.170718,0.132,,5.12283,90.6220931,49.861939,9.53114,14.64,0,7.06
G 192-15 c,G 192-15,1,2,Radial Velocity,2025,Calar Alto Observatory,1219,1.137,0.676,3.87,14.3,55.9,M5.0 V,2999,0.170718,0.132,,5.12283,90.6220931,49.861939,9.53114,14.64,0,0.0016
G 196-3 b,G 196-3,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,350,,12,8263.538582,1670,,3517,0.522432,0.519782,,4.71783,151.0884754,50.3861806,21.7912,11.672,0,
G 261-6 b,G 261-6,1,1,Radial Velocity,2025,Calar Alto Observatory,5.4536,0.02971,0,1.1,1.37,322.3,M5.5 V,2907,0.153162,0.118,,5.16515,291.07432,75.5558405,10.6267,15.75,0,1.8
G 264-012 b,G 264-012,1,2,Radial Velocity,2021,Calar Alto Observatory,2.30538,0.02279,,1.39,2.5,587,M4.0 V,3326,0.305,0.297,0.1,4.85,326.6719598,66.803848,16.009,13.078,0,20.5
G 264-012 c,G 264-012,1,2,Radial Velocity,2021,Calar Alto Observatory,8.0518,0.0525,,1.76,3.75,387,M4.0 V,3326,0.305,0.297,0.1,4.85,326.6719598,66.803848,16.009,13.078,0,3.87
G 268-110 b,G 268-110,1,1,Radial Velocity,2025,Calar Alto Observatory,1.43263,0.01283,0,1.13,1.52,534,M5.0 V,,0.177,0.137,,5.0855,16.223688,-18.124802,,14.7,0,13.57
G 9-40 b,G 9-40,1,1,Transit,2019,K2,5.7459982,0.0418,0,1.9,4,440.6,M2.5 V,3395,0.3026,0.2952,-0.07,4.84,134.7188514,21.0747961,27.9276,13.821,0,6.27
GJ 1002 b,GJ 1002,1,2,Radial Velocity,2022,Multiple Observatories,10.3465,0.0457,,1.03,1.08,230.9,M5.5 V,3024,0.137,0.12,-0.25,5.1,1.6764641,-7.5462123,4.84867,13.76,0,0.67
GJ 1002 c,GJ 1002,1,2,Radial Velocity,2022,Multiple Observatories,21.202,0.0738,,1.1,1.36,181.7,M5.5 V,3024,0.137,0.12,-0.25,5.1,1.6764641,-7.5462123,4.84867,13.76,0,0.257
GJ 1061 b,GJ 1061,1,3,Radial Velocity,2020,La Silla Observatory,3.204,0.021,0.31,1.1,1.37,,M5.5 V,2953,0.156,0.12,-0.08,5.15856,54.0032486,-44.5143104,3.67278,12.7,0,3.8
GJ 1061 c,GJ 1061,1,3,Radial Velocity,2020,La Silla Observatory,6.689,0.035,0.29,1.18,1.74,,M5.5 V,2953,0.156,0.12,-0.08,5.15856,54.0032486,-44.5143104,3.67278,12.7,0,1.4
GJ 1061 d,GJ 1061,1,3,Radial Velocity,2020,La Silla Observatory,13.031,0.054,0.53,1.16,1.64,,M5.5 V,2953,0.156,0.12,-0.08,5.15856,54.0032486,-44.5143104,3.67278,12.7,0,0.6
GJ 1132 b,GJ 1132,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,1.62892911,0.0157,0.0118,1.19151465,1.83704819,583.8,M4.5 V,3229,0.2211,0.1945,-0.17,5.037,153.7090696,-47.1549358,12.613,13.68,0,19.3
GJ 1132 c,GJ 1132,1,2,Radial Velocity,2018,La Silla Observatory,8.929,0.0476,0.27,1.43,2.64,300,M4.5 V,3270,0.2105,0.181,-0.17,5.037,153.7090696,-47.1549358,12.613,13.68,0,
GJ 1148 b,GJ 1148,1,2,Radial Velocity,2010,W. M. Keck Observatory,41.38,0.166,0.38,11.9,96.7,,M5,3287,0.358519,0.344045,0.1596,4.86566,175.4326081,42.7515862,11.0143,11.939,0,
GJ 1148 c,GJ 1148,1,2,Radial Velocity,2017,Calar Alto Observatory,532.58,0.912,0.342,9.71,68.06,,M5,3287,0.358519,0.344045,0.1596,4.86566,175.4326081,42.7515862,11.0143,11.939,0,
GJ 1151 c,GJ 1151,1,1,Radial Velocity,2023,Multiple Facilities,389.7,0.5714,,3.25,10.62,,M 4.5V,3280,0.1781,0.1639,-0.12,5.09,177.7304866,48.3732334,8.03625,13.76,0,
GJ 1214 b,GJ 1214,1,1,Transit,2009,MEarth Project,1.580404531,0.01505,0.0062,2.733,8.41,567,M4 V,3101,0.2162,0.182,0.24,5.0286,258.8313991,4.9606795,14.6427,15.1,0,17.2
GJ 1252 b,GJ 1252,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.5182331,0.00915,0,1.193,1.32,1089,M3,3458,0.391,0.381,0.1,4.88693,306.9286462,-56.4622865,20.373,12.68,0,233
GJ 1265 b,GJ 1265,1,1,Radial Velocity,2018,Calar Alto Observatory,3.6511,0.026,0.04,2.63,7.4,,M4.5 V,3236,0.192,0.178,-0.04,5.09,333.4324675,-17.6870623,10.2525,14.01,0,
GJ 1289 b,GJ 1289,1,1,Radial Velocity,2024,Multiple Observatories,111.74,0.27,0,2.38,6.27,150,M4.5 Ve,3296,0.245012,0.21,0.02,4.9931,355.7813464,36.5363314,8.35147,12.48,0,
GJ 143 b,GJ 143,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),35.61253,0.1915,0.188,2.61,22.7,422,K4.5,4640,0.695,0.73,0.003,4.613,51.7501882,-63.500166,16.32,8.08,0,10.8612
GJ 15 A b,GJ 15 A,2,2,Radial Velocity,2014,W. M. Keck Observatory,11.4407,0.072,0.094,1.55,3.03,550,M1,3607,0.38,0.38,-0.34,4.87,4.6126677,44.0247296,3.56228,8.09,1,
GJ 15 A c,GJ 15 A,2,2,Radial Velocity,2018,Roque de los Muchachos Observatory,7600,5.4,0.27,6.67,36,,M1,3607,0.38,0.38,-0.34,4.87,4.6126677,44.0247296,3.56228,8.09,0,
GJ 160.2 b,GJ 160.2,1,1,Radial Velocity,2014,Multiple Observatories,5.2354,0.053,0.06,3.17,10.2,,M0 V,4347,0.655173,0.69,,4.61312,61.6454173,-20.8564724,25.8557,9.7,0,
GJ 163 b,GJ 163,1,3,Radial Velocity,2013,La Silla Observatory,8.63182,0.0607,0.073,3.25,10.6,,M,3500,0.409738,0.4,0.1,4.81775,62.3228353,-53.3711768,15.1285,11.79,0,
GJ 163 c,GJ 163,1,3,Radial Velocity,2013,La Silla Observatory,25.63058,0.1254,0.099,2.5,6.8,,M,3500,0.409738,0.4,0.1,4.81775,62.3228353,-53.3711768,15.1285,11.79,0,
GJ 163 d,GJ 163,1,3,Radial Velocity,2013,La Silla Observatory,603.95116,1.0304,0.373,5.92,29.4,,M,3500,0.409738,0.4,0.1,4.81775,62.3228353,-53.3711768,15.1285,11.79,0,
GJ 179 b,GJ 179,1,1,Radial Velocity,2009,W. M. Keck Observatory,2288,2.41,0.21,13.8,301.9369867,,M3.5 V,3370,0.38,0.357,0.3,4.83,73.0245495,6.4752347,12.356,11.963,0,
GJ 180 b,GJ 180,1,3,Radial Velocity,2014,Multiple Observatories,17.133,0.092,0.07,2.43,6.49,,M3,3371,0.413049,0.43,,4.81473,73.460097,-17.776194,11.9407,10.914,0,
GJ 180 c,GJ 180,1,3,Radial Velocity,2014,Multiple Observatories,24.329,0.129,0.09,2.41,6.4,,M3,3371,0.413049,0.43,,4.81473,73.460097,-17.776194,11.9407,10.914,0,
GJ 180 d,GJ 180,1,3,Radial Velocity,2020,Multiple Facilities,106.3,0.309,0.14,2.66,7.56,,M3,3371,0.413049,0.43,,4.81473,73.460097,-17.776194,11.9407,10.914,0,
GJ 2030 b,GJ 2030,1,2,Radial Velocity,2022,Multiple Observatories,2.38129,0.034,0.239,2.03,4.76742611,,,5485,2.24104,0.96,-0.4,3.71944,50.8237604,-7.7950429,37.0788,6.20902,0,
GJ 2030 c,GJ 2030,1,2,Radial Velocity,2022,Multiple Observatories,25533.11353,16.761,0.041,12.3,4069.157095,,,5485,2.24104,0.96,-0.4,3.71944,50.8237604,-7.7950429,37.0788,6.20902,0,
GJ 2056 b,GJ 2056,1,1,Radial Velocity,2020,Multiple Observatories,69.971,0.283,0.72,4.17,16.2,,M0V:,4069.95,0.709495,0.62,,4.48062,108.0194945,-24.8921008,28.4434,10.37,0,
GJ 2126 b,GJ 2126,1,1,Radial Velocity,2025,La Silla Observatory,272.7,0.71,0.85,13.6,413.1769291,,M0 V,4159,0.728,0.65,0.6,4.527,257.3606793,-35.391719,38.129,10.7,0,
GJ 229 A c,GJ 229,3,2,Radial Velocity,2020,Multiple Facilities,121.93268,0.384,0.366,2.87,8.58136699,,M1.5V,3564,0.46,0.509,,4.69496,92.6435993,-21.8677233,5.75624,8.15,1,
GJ 229 b,GJ 229,3,2,Radial Velocity,2014,Multiple Observatories,579.47495,1.086,0.404,3.97,14.93793513,,M1.5V,3564,0.46,0.509,,4.69496,92.6435993,-21.8677233,5.75624,8.15,1,
GJ 238 b,GJ 238,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),1.7446999,0.02123,,0.566,0.126,758,M2.5 V,3485,0.4314,0.4193,0.15,4.85243,98.454881,-58.5250316,15.2142,11.62,0,107.262
GJ 251 b,GJ 251,1,2,Radial Velocity,2020,W. M. Keck Observatory,14.237,0.0808,0,1.79,3.85,336,M3.0 V,3342,0.36,0.35,0.07,4.87,103.7002499,33.2664632,5.58057,9.89,0,2.37
GJ 251 c,GJ 251,1,2,Radial Velocity,2025,Multiple Observatories,53.647,0.196,0,1.8,3.88,216,M3.0 V,3342,0.36,0.35,0.07,4.87,103.7002499,33.2664632,5.58057,9.89,0,0.404
GJ 27.1 b,GJ 27.1,1,1,Radial Velocity,2014,Multiple Observatories,15.819,0.101,0.08,3.66,13,,M0.5 V,3542,0.518887,0.53,,4.72092,9.9980016,-44.2541679,23.6062,11.45,0,
GJ 273 b,GJ 273,1,2,Radial Velocity,2017,La Silla Observatory,18.6498,0.091101,0.1,1.51,2.89,,M3.5,3382,0.293,0.29,0.09,4.90868,111.852091,5.225807,5.921535,9.84,0,1.06
GJ 273 c,GJ 273,1,2,Radial Velocity,2017,La Silla Observatory,4.7234,0.036467,0.17,1.06,1.18,,M3.5,3382,0.293,0.29,0.09,4.90868,111.852091,5.225807,5.921535,9.84,0,6.66
GJ 3021 b,GJ 3021,2,1,Radial Velocity,2000,La Silla Observatory,133.71,0.49,0.511,13.1,1071.04,350,G6 V,5540,0.9,0.9,0.1,4.7,4.0634323,-79.8514218,17.5559,6.59,0,
GJ 3082 b,GJ 3082,1,1,Radial Velocity,2020,Multiple Facilities,11.949,0.079,0.22,2.79,8.2,,M4,3910,0.465216,0.47,,4.76801,18.6432425,-53.9407751,16.6186,11.041,0,
GJ 3090 b,GJ 3090,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.8531054,0.03165,0.32,2.13,3.34,693,M2 V,3556,0.516,0.519,-0.06,4.727,20.4384281,-46.7147234,22.4751,11.403,0,23.0419
GJ 3138 b,GJ 3138,1,3,Radial Velocity,2017,La Silla Observatory,1.22003,0.0197,0.19,1.18,1.78,,M0,3717,0.5,0.681,-0.3,4.62872,32.2977385,-16.3392495,28.4712,10.8275,0,118.1
GJ 3138 c,GJ 3138,1,3,Radial Velocity,2017,La Silla Observatory,5.974,0.057,0.11,1.88,4.18,,M0,3717,0.5,0.681,-0.3,4.62872,32.2977385,-16.3392495,28.4712,10.8275,0,13.9
GJ 3138 d,GJ 3138,1,3,Radial Velocity,2017,La Silla Observatory,257.8,0.698,0.32,3.23,10.5,,M0,3717,0.5,0.681,-0.3,4.62872,32.2977385,-16.3392495,28.4712,10.8275,0,0.1
GJ 317 b,GJ 317,1,2,Radial Velocity,2007,W. M. Keck Observatory,695.69,1.138,0.0826,13.3,794.5,,M3.5 V,3496,0.403,0.402,-0.02,4.822436,130.2445254,-23.452809,15.1968,12.4,0,
GJ 317 c,GJ 317,1,2,Radial Velocity,2018,W. M. Keck Observatory,6500,5.04,0.217,13.6,454.494622,,M3.5 V,3496,0.403,0.402,-0.02,4.822436,130.2445254,-23.452809,15.1968,12.4,0,
GJ 3222 b,GJ 3222,2,1,Radial Velocity,2022,Multiple Observatories,10.66669,0.091,0.929,3.4,11.44182265,,K0V,5257.46,0.931389,0.89,0.16,4.43,50.8972464,-40.0762325,18.23817,6.9,0,
GJ 328 b,GJ 328,1,2,Radial Velocity,2013,McDonald Observatory,3771,4.11,0.227,13.3,797.7493016,,M0.0,3897,0.63,0.65,-0.06,4.64,133.7819507,1.5420011,20.5266,9.99,0,
GJ 328 c,GJ 328,1,2,Radial Velocity,2023,Roque de los Muchachos Observatory,241.8,0.657,,4.91,21.4,,M0.0,3897,0.63,0.65,-0.06,4.64,133.7819507,1.5420011,20.5266,9.99,0,
GJ 3293 b,GJ 3293,1,4,Radial Velocity,2015,La Silla Observatory,30.5987,0.14339,0.06,5.19,23.54,,M2.5,3466,0.404,0.42,0.02,4.78125,67.1484425,-25.1713396,20.1903,11.945,0,1.07
GJ 3293 c,GJ 3293,1,4,Radial Velocity,2015,La Silla Observatory,122.6196,0.36175,0.11,4.87,21.09,,M2.5,3466,0.404,0.42,0.02,4.78125,67.1484425,-25.1713396,20.1903,11.945,0,0.17
GJ 3293 d,GJ 3293,1,4,Radial Velocity,2017,La Silla Observatory,48.1345,0.19394,0.12,2.67,7.6,,M2.5,3466,0.404,0.42,0.02,4.78125,67.1484425,-25.1713396,20.1903,11.945,0,0.59
GJ 3293 e,GJ 3293,1,4,Radial Velocity,2017,La Silla Observatory,13.2543,0.08208,0.21,1.63,3.28,,M2.5,3466,0.404,0.42,0.02,4.78125,67.1484425,-25.1713396,20.1903,11.945,0,3.34
GJ 3323 b,GJ 3323,1,2,Radial Velocity,2017,La Silla Observatory,5.3636,0.03282,0.23,1.23,2.02,,M4,3159,0.119,0.164,-0.27,,75.4868824,-6.9485133,5.37484,12.57,0,2.58
